onetsoc_code	title	title_nb	description	description_nb	changed
"19-1029.03"	"Geneticists"	"Genetiker"	"Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders."	"Forsker på og undersøker arv av egenskaper på molekylært-, organisme- eller bestandsnivå. Kan evaluere eller behandle pasienter med genetiske sykdommer."	"2017-05-26"
"19-1029.04"	"Biologists"	"Biolog"	"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions."		"2022-04-25"
"19-1031.00"	"Conservation Scientists"	"Bevaringsbiolog"	"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering."	"Forvalter, utvikler og beskytter naturressurser for å få mest mulig ut av dem uten å skade miljøet. Kan utføre jordsmonnsundersøkelser og utvikle planer for å eliminere jorderosjon eller beskytte sletter. Kan instruere bønder, produksjonsledere i jordbruket eller gårdbrukere i de beste metodene for vekselbruk, kotepløying eller terrassering for å bevare jordsmonn og vann; i hvilke mengder og typer buskap og fôrplanter som er best egnet til bestemte landområder; og i utbedringer av beiteområder og gården, som f.eks. inngjerding og oppbevaring til drikkevann."	"2017-05-26"
"19-1031.02"	"Range Managers"	"Landforvalter"	"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife."	"Undersøker eller studerer landforvaltningspraksis for å gi varig produksjon av fôr, buskap og dyreliv."	"2017-05-26"
"19-1031.03"	"Park Naturalists"	"Naturforsker ved park"	"Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park."	"Planlegger, utvikler og gjennomfører ordninger for å informere folk om historiske, naturlige og vitenskapelige attraksjoner i nasjonal- og regionalparker."	"2017-05-26"
"19-1032.00"	"Foresters"	"Skogforvalter"	"Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules."	"Forvalter offentlige og private skogsområder til kommersiell bruk, fritidsbruk eller bevaring. Kan listeføre og stedfeste sort og mengde av stående tømmer, taksere verdien av tømmeret, forhandle om salg og tegne kontrakter om anskaffelser. Kan bestemme hvordan naturreservater, bekkefar, vannkvalitet og jordstabilitet skal bevares, og hvordan miljøforskrifter best kan følges. Kan legge planer for planting og dyrking av nye trær, føre tilsyn med at trærne har en sunn vekst, og fastsette optimale høstingsplaner."	"2017-05-26"
"19-1041.00"	"Epidemiologists"	"Epidemiolog"	"Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control."	"Utreder og beskriver determinanter og utbredelser av sykdom, funksjonshemming eller helseeffekter. Kan utvikle metoder for forebygging og kontroll."	"2017-05-26"
"19-1042.00"	"Medical Scientists, Except Epidemiologists"	"Medisinsk forsker, utenom epidemiolog"	"Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities. Includes physicians, dentists, public health specialists, pharmacologists, and medical pathologists who primarily conduct research."	"Driver forskning som dreier seg om forståelse av menneskelige sykdommer og bedring av menneskers helse. Tar del i kliniske undersøkelser, forskning og utvikling eller annen relevant virksomhet. Inkluderer leger, tannleger, folkehelsespesialister, farmakologer og patologer som primært driver forskning."	"2017-05-26"
"19-1099.00"	"Life Scientists, All Other"	"Forsker innen biovitenskap, alle andre"	"All life scientists not listed separately."	"Alle andre forskere innen biovitenskap som ikke er ført opp separat."	"2017-05-26"
"19-2011.00"	"Astronomers"	"Astronom"	"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems."	"Observerer, forsker på og fortolker astronomiske fenomener for å øke grunnkunnskap eller bruke slik informasjon til å løse praktiske problemer."	"2017-05-26"
"19-2012.00"	"Physicists"	"Fysiker"	"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories."	"Driver forskning på fysiske fenomener, utvikler teorier på grunnlag av observasjon og eksperimenter og finner fram til metoder for å anvende fysiske lover og teorier."	"2017-05-26"
"19-2021.00"	"Atmospheric and Space Scientists"	"Atmosfære- og romforsker"	"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology."	"Undersøker atmosfæriske fenomener og tolker meteorologiske data fra bakke- og luftstasjoner, satellitter og radarer for å utforme rapporter og prognoser til offentlig og annen bruk. Inkluderer væranalytikere og meteorologer som trenger detaljert kjennskap til meteorologi."	"2017-05-26"
"19-2031.00"	"Chemists"	"Kjemiker"	"Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge."	"Utfører kvalitative og kvantitative kjemiske analyser eller eksperimenter i laboratorier for kvalitets- eller prosesskontroll eller for å utvikle nye produkter eller ny kunnskap."	"2017-05-26"
"19-2032.00"	"Materials Scientists"	"Materialforsker"	"Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists."	"Forsker på og studerer oppbygningen av og kjemiske egenskaper ved ulike naturlige og syntetiske materialer eller komposittmaterialer, inkludert metaller, legeringer, gummi, keramiske stoffer, halvledere, polymerer og glass. Finner fram til metoder for å styrke eller kombinere materialer eller utvikler nye materialer med nye eller bestemte egenskaper til forskjellige produkter og bruksområder. Inkluderer forskere innen glass, keramikk, metallurgi og polymerer."	"2017-05-26"
"19-2041.00"	"Environmental Scientists and Specialists, Including Health"	"Miljøviter og miljøspesialist, også innen helse"	"Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or the health of the population. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources."	"Driver forskning eller gjennomfører undersøkelser for å identifisere, redusere eller eliminere kilder til forurensning eller skade som påvirker enten miljøet eller folkehelsa. Anvender kunnskap fra forskjellige vitenskapsdisipliner, kan innhente, sammenføye, studere, rapportere og anbefale tiltak basert på data hentet fra målinger eller observasjoner av luft, mat, jordsmonn, vann eller andre kilder."	"2017-05-26"
"19-2041.01"	"Climate Change Policy Analysts"	"Klimatiltaksanalytiker"	"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches."	"Gransker og analyserer politikkutvikling som har å gjøre med klimaendringer. Gir klimarelaterte anbefalinger om tiltak som lovgivning, bevisstgjøringskampanjer eller fundraising."	"2017-05-26"
"19-2041.02"	"Environmental Restoration Planners"	"Planlegger innen miljørehabilitering"	"Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management."	"Samarbeider med feltansatte og biologisk personale for å ha tilsyn med implementering av rehabiliteringsprosjekter og å utvikle nye produkter. Behandler og setter kompleks vitenskapelig data sammen til praktiske strategier for rehabilitering, tilsyn eller administrasjon."	"2017-05-26"
"19-2041.03"	"Industrial Ecologists"	"Industriell økolog"	"Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment."	"Anvender prinsipper og prosesser i naturlige økosystemer for å utvikle modeller for effektive industrielle systemer. Anvender kunnskap fra natur- og samfunnsvitenskap for å maksimere effektiv bruk av naturressurser i produksjonen av varer og tjenester. Undersøker samfunnsspørsmål og hvordan de henger sammen med både tekniske systemer og miljøet."	"2017-05-26"
"19-2042.00"	"Geoscientists, Except Hydrologists and Geographers"	"Geoviter, utenom hydrologer og geografer"	"Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, crystallographers, paleontologists, stratigraphers, geodesists, and seismologists."	"Studerer sammensetningen av, oppbygningen av og andre fysiske aspekter ved jorda. Kan bruke kunnskap fra geologi, fysikk og matematikk til å lete etter olje, gass, mineraler eller grunnvann; eller til avfallsbehandling, nydyrking eller andre miljøproblemer. Kan studere jordas interne sammensetning, atmosfærer, hav og magnetkraft, energi og tyngdekraft. Inkluderer mineraloger, krystallografer, paleontologer, stratigrafer, landmålere og seismologer."	"2017-05-26"
"19-2043.00"	"Hydrologists"	"Hydrolog"	"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation, its rate of infiltration into the soil, movement through the earth, and its return to the ocean and atmosphere."	"Forsker på utbredelsen, sirkulasjonen og fysiske egenskaper ved grunn- og overflatvann; og stuerer formen på og intensiteten av nedbør, i hvilken grad den trenger ned i jorda, vannets ferd gjennom bakken og tilbakereise til havet og atmosfæren."	"2017-05-26"
"19-2099.00"	"Physical Scientists, All Other"	"Forsker innen naturvitenskap, alle andre"	"All physical scientists not listed separately."	"Alle andre forskere innen naturvitenskap som ikke er ført opp separat."	"2017-05-26"
"19-2099.01"	"Remote Sensing Scientists and Technologists"	"Forsker og tekniker innen fjernanalyse"	"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems."	"Anvender prinsipper og metoder innen fjernanalyse for å analysere data og løse problemer på områder som naturressursforvaltning, byplanlegging eller nasjonal sikkerhet. Kan utvikle nye målesystemer, analytiske teknikker eller nye bruksområder for eksisterende systemer."	"2017-05-26"
"19-3011.00"	"Economists"	"Økonom"	"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods."	"Driver forskning, utformer rapporter eller planer for å ta tak i økonomiske problemer i forbindelse med produksjon og distribusjon av varer og tjenester eller finans- og skattepolitikk. Kan innhente og bearbeide økonomiske og statistiske data med prøveuttaksmetoder og økonometriske metoder."	"2017-05-26"
"19-3011.01"	"Environmental Economists"	"Miljøøkonom"	"Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques."	"Utfører økonomiske analyser i forbindelse med miljøvern og bruk av naturområder, som f.eks. vann-, luft- og landressurser og fornybare energikilder. Evaluerer og kvantifiserer gevinst, kostnad, insentiver og virkninger av alternative løsninger ved hjelp av økonomiske prinsipper og statistiske metoder."	"2017-05-26"
"19-3022.00"	"Survey Researchers"	"Surveyforsker"	"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams."	"Planlegger, utvikler eller utfører spørreundersøkelser Kan analysere og fortolke betydningen av data fra spørreundersøkelser, fastsetter mål for spørreundersøkelser eller foreslå eller teste spørsmålsformulering. Inkluderer samfunnsvitere som primært utformer spørreundersøkelser eller leder team med spørrere."	"2017-05-26"
"19-3032.00"	"Industrial-Organizational Psychologists"	"Arbeids- og organisasjonspsykolog"	"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity."	"Anvender psykologiske prinsipper til ansatt-, administrasjons-, ledelses-, salgs- og markedsføringsproblemer. Arbeidet kan omfatte planlegging av retningslinjer; testing, utvelging, opplæring og utvikling av arbeidstakere; og virksomhetsutvikling og -analyse. Kan samarbeide med ledelsen for å organisere arbeidsforhold for å forbedre produktiviteten."	"2017-05-26"
"19-3033.00"	"Clinical and Counseling Psychologists"	"Klinisk psykolog"	"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients."		"2022-04-25"
"19-3034.00"	"School Psychologists"	"Skolepsykolog"	"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel."		"2022-04-25"
"19-3039.00"	"Psychologists, All Other"	"Psykologer, andre"	"All psychologists not listed separately."	"Alle psykologer som ikke er ført opp separat."	"2017-05-26"
"19-3039.02"	"Neuropsychologists"	"Neuropsykolog"	"Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment."		"2022-04-25"
"19-3039.03"	"Clinical Neuropsychologists"	"Klinisk neuropsykolog"	"Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation."		"2022-04-25"
"19-3041.00"	"Sociologists"	"Sosiolog"	"Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members."	"Studerer menneskesamfunn og sosial adferd ved å undersøke grupper og sosiale institusjoner mennesker danner,i tillegg til forskjellige sosiale, religiøse, politiske og forretningsmessige organisasjoner. Kan studere gruppeadferd og -interaksjon, spore opprinnelse og følge vekst, og analysere hvordan gruppeaktivitet påvirker individuelle medlemmer."	"2017-05-26"
"19-3051.00"	"Urban and Regional Planners"	"Byplanlegger og samfunnsplanlegger"	"Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas."	"Utvikler omfattende planer og programmer for arealer og anlegg innen et jurisdiksjonsområde, så som bygder, byer, kommuner og byregioner."	"2017-05-26"
"19-3091.00"	"Anthropologists and Archeologists"	"Antropolog og arkeolog"	"Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations."	"Studerer menneskets opprinnelse, utvikling og adferd. Kan studerer levemåter, språk eller fysiske særtrekk ved folk i ulike deler av verden. Kan ta del i systematisk oppdaging og utforsking av materielle etterlatenskaper, som verktøy eller potteskår fra tidligere kulturer, for å avdekke historie, skikker og livsførsel til tidligere sivilisasjoner."	"2017-05-26"
"19-3092.00"	"Geographers"	"Geograf"	"Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global."	"Studerer egenskaper ved og bruk av områder på jordoverflaten og sammenstiller og fortolker interaksjonen mellom fysiske og kulturelle fenomener. Driver forskning på fysiske aspekter ved et område, inkludert landskapsform, klima, jordsmonn, planter og dyr, og driver forskning på de romlige virkningene av menneskelig aktivitet innen et bestemt område, inkludert sosiale karakteristika, økonomisk aktivitet og politisk organisering, og forsker i tillegg på gjensidig avhengighet mellom områder på lat fra lokalt til globalt nivå."	"2017-05-26"
"19-3093.00"	"Historians"	"Historiker"	"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters."	"Forker på, analyserer, nedtegner og fortolker fortiden slik den er dokumentet i kilder, som f.eks. offentlige og institusjonelle arkiver, aviser og andre tidsskrifter, fotografier, intervjuer, filmer, elektroniske medier og ikke-publiserte tekster som personlige dagbøker og brev."	"2017-05-26"
"19-3094.00"	"Political Scientists"	"Statsviter"	"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decision-making, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents."	"Studerer opprinnelsen, utviklingen og driften av politiske systemer. Kan studere temaer som folkeopinion, politisk beslutningstaking og ideologi. Kan analysere sammensetning og drift av statsmakt samt forskjellige politiske enheter. Kan utføre opinionsmålinger, analysere valgresultater og analysere offentlig tilgjengelige dokumenter."	"2017-05-26"
"19-3099.00"	"Social Scientists and Related Workers, All Other"	"Samfunnsviter og beslektede yrker, alle andre"	"All social scientists and related workers not listed separately."	"Alle samfunnsvitere og beslektede yrker som ikke er ført opp separat."	"2017-05-26"
"19-3099.01"	"Transportation Planners"	"Transportplanlegger"	"Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations."	"Klargjør studier for foreslåtte transportprosjekter. Innhenter, samler og analyserer data. Studerer bruken og driften av transportsystemer. Utvikler transportmodeller eller -simuleringer."	"2017-05-26"
"19-4012.00"	"Agricultural Technicians"	"Landbrukstekniker"	"Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects."		"2022-04-25"
"19-4012.01"	"Precision Agriculture Technicians"	"Presisjonslandbrukstekniker"	"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather."		"2022-04-25"
"19-4013.00"	"Food Science Technicians"	"Matvitenskaptekniker"	"Work with food scientists or technologists to perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products. Includes technicians who assist in research and development of production technology, quality control, packaging, processing, and use of foods."		"2022-04-25"
"19-4021.00"	"Biological Technicians"	"Biotekniker"	"Assist biological and medical scientists in laboratories. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs."	"Bistår forskere innen biologi og medisin på laboratoriet. Setter opp, kontrollerer og vedlikeholder laboratorieinstrumenter og -utstyr, fører tilsyn med forsøk, gjør observasjoner og beregner og nedtegner resultater. Kan analysere organiske stoffer som blod, mat og legemidler."	"2017-05-26"
"19-4031.00"	"Chemical Technicians"	"Kjemitekniker"	"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences."	"Utfører kjemiske og fysiske laboratorietester og bistår forskere i å gjøre kvalitative og kvantitative analyser av faste stoffer, væsker og gasser til forskning og utvikling av nye produkter eller prosesser, kvalitetssikring, vedlikehold av miljøstandarder og annet arbeid som har å gjøre med eksperimentell, teoretisk og praktisk anvendelse av kjemi og tilhørende vitenskaper."	"2017-05-26"
"19-4042.00"	"Environmental Science and Protection Technicians, Including Health"	"Miljøverntekniker"	"Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing."		"2022-04-25"
"19-4043.00"	"Geological Technicians, Except Hydrologic Technicians"	"Geologitekniker"	"Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes."		"2022-04-25"
"19-4044.00"	"Hydrologic Technicians"	"Hydrologitekniker"	"Collect and organize data concerning the distribution and circulation of ground and surface water, and data on its physical, chemical, and biological properties. Measure and report on flow rates and ground water levels, maintain field equipment, collect water samples, install and collect sampling equipment, and process samples for shipment to testing laboratories. May collect data on behalf of hydrologists, engineers, developers, government agencies, or agriculture."		"2022-04-25"
"19-4051.00"	"Nuclear Technicians"	"Atomtekniker"	"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory or production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation."	"Bistår kjernefysikere, atomingeniører eller andre forskere i laboratorie- eller produksjonsvirksomhet. Kan operere, vedlikeholde eller tilby kvalitetssikring av kjernefysisk test- og forskningsutstyr. Kan overvåke stråling."	"2017-05-26"
"19-4051.02"	"Nuclear Monitoring Technicians"	"Tilsynstekniker, kjernefysikk"	"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment."	"Samler inn og tester prøver for å føre tilsyn med resultater av kjernefysiske eksperimenter og kontaminasjon av mennesker, anlegg og miljø."	"2017-05-26"
"19-4061.00"	"Social Science Research Assistants"	"Samfunnsvitenskapelig forskningsassistent"	"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management."	"Bistår samfunnsforskere i laboratorieforskning, spørreundersøkelser og annen samfunnsforskning. Kan hjelpe til med å gjøre klar funn for publisering og bistå i laboratorieanalyser, kvalitetskontroll eller dataadministrasjon."	"2017-05-26"
"19-4071.00"	"Forest and Conservation Technicians"	"Skogstekniker"	"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats."		"2022-04-25"
"19-4092.00"	"Forensic Science Technicians"	"Kriminaltekniker"	"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry."	"Innhenter, identifiserer, klassifiserer og analyserer fysiske bevis i forbindelse med etterforskning av lovbrudd. Utfører forsøk på våpen eller emner, som fibre, hår og vev, for å avgjøre om de er relevante for etterforskningen. Kan avlegge vitnesbyrd som ekspertvitne om bevismateriale eller laboratoriemetoder. Kan virke som fagkyndig på ekspertiseområder som ballistikk, fingeravtrykk, håndskrift eller biokjemi."	"2017-05-26"
"19-4099.00"	"Life, Physical, and Social Science Technicians, All Other"	"Teknikere innen livsvitenskap, fysikk og samfunnsfag, alle andre"	"All life, physical, and social science technicians not listed separately."	"Alle teknikere inn livsvitenskap, fysikk og samfunnsfag som ikke er ført opp separat."	"2017-05-26"
"19-4099.01"	"Quality Control Analysts"	"Kvalitetskontrollanalytiker"	"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests."	"Utfører tester for å fastslå kvaliteten på råmaterialer, halvfabrikater eller ferdige varer. Kan utføre stabilitetskontroller."	"2017-05-26"
"19-4099.03"	"Remote Sensing Technicians"	"Fjernmålingstekniker"	"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips."	"Bruker fjernanalytisk teknologi for å bistå forskere på områder som naturressurser, byplanlegging eller nasjonal sikkerhet. Kan lage flyplaner eller utføre sensorkonfigurasjon før flyturer."	"2017-05-26"
"19-5011.00"	"Occupational Health and Safety Specialists"	"HMS-spesialist"	"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector."		"2022-04-25"
"19-5012.00"	"Occupational Health and Safety Technicians"	"HMS-tekniker"	"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers."		"2022-04-25"
"21-1011.00"	"Substance Abuse and Behavioral Disorder Counselors"	"Psykoterapeut innen stoffmisbruk eller adferdsvansker"	"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs."	"Tilbyr terapi og rådgivning til personer med problemer med alkohol, tobakk eller stoffmisbruk, eller andre problemer så som spilleavhengighet eller spiseforstyrrelser. Kan rådgi enkeltpersoner, familier eller grupper eller ta del i forebyggende arbeid."	"2017-05-26"
"21-1012.00"	"Educational, Guidance, and Career Counselors and Advisors"	"Studieveileder, skolerådgiver og yrkesveileder"	"Counsel individuals and provide group educational and vocational guidance services."	"Veileder enkeltpersoner og gir yrkes- og studieveiledning til grupper."	"2017-05-26"
"21-1013.00"	"Marriage and Family Therapists"	"Ekteskaps- og familieterapeut"	"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders."	"Diagnostiserer og behandler psykiske lidelser og emosjonelle vansker, enten de er kognitive, affektive eller adferdsmessige, innen et ekteskap eller en familie. Anvender psykoterapeutiske og familieterapeutiske teorier og framgangsmåter for å bistå enkeltpersoner, par og familier med det formål å behandle diagnostiserte nervøse og psykiske lidelser."	"2017-05-26"
"21-1014.00"	"Mental Health Counselors"	"Rådgiver, psykisk helse"	"Counsel with emphasis on prevention. Work with individuals and groups to promote optimum mental and emotional health. May help individuals deal with issues associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; and aging."	"Gir råd med vekt på forebygging. Arbeider med enkeltindivider og grupper for å fremme god psykisk og emosjonell helse. Kan hjelpe personer med problemer med avhengighet og stoffmisbruk; problemer med familie, oppdragelse eller ekteskap; stressmestring; selvtillit; og aldring."	"2017-05-26"
"21-1015.00"	"Rehabilitation Counselors"	"Rehabiliteringsrådgiver"	"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement."	"Rådgir enkeltpersoner for å styrke selvstendigheten og ansettbarheten til personer som strir med personlige, sosiale og yrkesmessige vansker som følge av medfødte misdannelser, sykdommer, lidelser, ulykker eller stress i hverdagen. Samordner aktiviteter blant beboere på pleie- og behandlingsinstitusjoner. Vurderer hva brukerne trenger, og utformer og iverksetter rehabiliteringsprogrammer som kan omfatte personlig og yrkesmessig rådgivning, opplæring og arbeidsutplassering."	"2017-05-26"
"21-1019.00"	"Counselors, All Other"	"Rådgivere, alle andre"	"All counselors not listed separately."	"Alle rådgivere som ikke er ført opp separat."	"2017-05-26"
"21-1021.00"	"Child, Family, and School Social Workers"	"Sosialarbeider innen barn, familie og skole"	"Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers."	"Gir sosial bistand og assistanse for å styrke den sosiale og psykologiske funksjonsevnen til barn og familiene deres og for å styrke trivsel i familien og akademiske evner hos barn. Kan bistå foreldre, avtale adopsjon og finne fosterhjem til forlatte eller mishandlede barn. Tar tak i problemer på skoler som tenåringsgraviditet, dårlig oppførsel og skulk. Kan også rådgi lærere."	"2017-05-26"
